	HC1	HC2	HC3	HC4	COVID_1	COVID_2	COVID_3	COVID_4	COVID_5	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10
CEACAM8	1.10 	0.60 	1.02 	0.96 	2.38 	10.04 	0.68 	3.85 	0.66 	0.70 	1.67 	1.01 	0.23 	0.75 	1.56 	0.33 	1.65 	0.50 	0.20 
HP	0.45 	0.18 	0.37 	0.05 	60.47 	10.98 	3.12 	4.21 	6.04 	0.84 	2.84 	1.63 	0.14 	0.79 	3.34 	0.91 	45.77 	19.59 	2.33 
KBTBD6	0.30 	0.51 	0.47 	0.24 	2.67 	1.85 	0.77 	1.42 	0.40 	0.36 	0.32 	0.16 	0.58 	0.79 	2.14 	0.84 	2.16 	1.89 	1.11 
LCN2	0.35 	0.62 	0.91 	0.96 	7.59 	35.06 	0.83 	31.85 	0.67 	0.53 	2.48 	0.16 	0.34 	0.60 	2.65 	0.84 	5.74 	1.56 	0.63 
LTF	3.21 	2.00 	4.34 	3.16 	11.74 	57.27 	1.42 	62.94 	1.73 	2.56 	9.83 	2.65 	1.30 	2.52 	16.38 	0.76 	4.84 	3.22 	0.43 
MMP8	1.14 	0.55 	1.22 	0.67 	11.89 	19.60 	0.64 	8.55 	0.56 	3.12 	7.49 	1.03 	2.18 	2.18 	16.41 	0.79 	17.55 	1.89 	0.99 
OLFM4	0.42 	0.59 	0.50 	0.48 	6.45 	7.46 	0.08 	2.03 	0.86 	1.22 	0.88 	0.40 	1.93 	0.70 	2.14 	0.35 	0.66 	0.61 	0.14 
PGLYRP1	18.78 	5.84 	3.76 	13.03 	31.96 	39.48 	16.00 	7.51 	14.62 	31.91 	65.01 	16.28 	6.63 	43.33 	36.90 	24.79 	31.92 	55.92 	7.80 
PTX3	0.30 	0.23 	0.24 	0.32 	0.81 	1.21 	0.85 	1.75 	2.19 	1.45 	0.84 	0.57 	0.18 	1.23 	0.28 	0.31 	0.80 	3.55 	0.97 
RETN	0.20 	0.00 	0.00 	0.13 	1.34 	4.11 	0.21 	45.98 	0.00 	4.63 	0.93 	1.19 	0.09 	0.41 	4.15 	2.16 	3.61 	1.04 	0.20 
CHIT1	4.70 	3.94 	3.30 	2.01 	2.17 	6.56 	10.84 	1.52 	3.43 	3.00 	1.34 	3.51 	6.94 	8.38 	4.72 	7.21 	4.20 	0.80 	2.49 
CRISP3	3.99 	0.88 	0.92 	1.46 	1.78 	3.93 	0.54 	1.31 	0.47 	1.09 	2.00 	0.35 	2.31 	5.83 	0.95 	2.78 	1.13 	0.04 	4.57 
CD24	6.39 	2.30 	12.02 	2.80 	6.20 	12.36 	1.65 	8.52 	1.19 	2.95 	1.58 	3.07 	2.97 	6.54 	2.22 	5.55 	3.82 	1.78 	3.85 
OLR1	0.23 	0.13 	0.08 	0.27 	0.19 	1.34 	0.13 	0.44 	0.02 	0.04 	0.00 	0.04 	0.04 	0.27 	0.00 	0.40 	0.04 	0.00 	0.32 
BPI	2.19 	1.42 	1.78 	2.29 	9.36 	8.96 	0.36 	7.31 	2.07 	1.56 	2.38 	0.76 	3.65 	6.28 	1.27 	10.23 	1.03 	0.48 	5.86 
CAMP	9.45 	7.22 	7.25 	12.96 	7.51 	16.98 	2.17 	4.21 	3.71 	6.55 	16.88 	5.00 	10.41 	20.52 	5.57 	11.73 	2.83 	0.29 	28.03 
SUSD3	1.84 	0.91 	0.66 	0.70 	0.91 	2.32 	0.96 	9.13 	0.47 	1.20 	0.82 	0.74 	2.83 	1.76 	1.43 	0.85 	0.44 	3.88 	0.97 
PADI4	77.95 	34.75 	39.22 	52.37 	62.54 	64.25 	40.64 	26.35 	62.55 	106.20 	76.35 	45.22 	93.20 	92.33 	70.10 	50.43 	96.37 	19.59 	132.36 
CCDC125	5.00 	5.28 	5.07 	6.99 	3.99 	5.97 	4.38 	2.89 	4.97 	3.46 	6.22 	4.68 	6.25 	6.03 	7.32 	4.09 	5.82 	4.72 	5.84 
